Name;Group;Item;Comment;Logged;Type;LogDB;MinRaw;MaxRaw;MinEu;MaxEu;OnMsged;OnMsg;offMsged;OffMsg;Val;AlarmMsg;AlarmLevel;AlarmCase;AlarmConst;DeadBaund;EU;RW
vn71;vn;ВН-71;ТП-168 ввод Л-5-27 (ст.Деревянка) (ЗН);false;11;0;0;1;0;1;true;ВН-71 Включен;true;ВН-71 Выключен;0;;0;0;0;0;0;3
vn72;vn;ВН-72;ТП-168 ввод Л-5-27 (ст.Деревянка) (ЗН);false;11;0;0;1;0;1;true;ВН-72 Включен;true;ВН-72 Выключен;1;;0;0;0;0;0;3
vn73;vn;ВН-73;ТП-168 вывод на ТП-163 (ст.Деревянка) (ЗН);false;11;0;0;1;0;1;true;ВН-73 Включен;true;ВН-73 Выключен;1;;0;0;0;0;0;3
vn74;vn;ВН-74;ТП-352 ввод с Л-5-27 (ст.Деревянка) (ЗН);false;11;0;0;1;0;1;true;ВН-74 Включен;true;ВН-74 Выключен;1;;0;0;0;0;0;3
vn75;vn;ВН-75;ТП-352 ввод с Л-5-27 (ст.Деревянка) (ЗН);false;11;0;0;1;0;1;true;ВН-75 Включен;true;ВН-75 Выключен;1;;0;0;0;0;0;3
vn76;vn;ВН-76;ТП-120 ввод КЛ с РП-2 (г-н Бесовец);false;11;0;0;1;0;1;true;ВН-76 Включен;true;ВН-76 Выключен;1;;0;0;0;0;0;3
vn77;vn;ВН-77;ТП-39 ввод с Л-21-7 от П/ст 21 (п.Шуя);false;11;0;0;1;0;1;true;ВН-77 Включен;true;ВН-77 Выключен;1;;0;0;0;0;0;3
vn78;vn;ВН-78;ТП-61 ввод с Л-82-11 (п.Ладва);false;11;0;0;1;0;1;true;ВН-78 Включен;true;ВН-78 Выключен;1;;0;0;0;0;0;3
vn79;vn;ВН-79;ТП-375 вывод на ТП-376 (Нефтебаза);false;11;0;0;1;0;1;true;ВН-79 Включен;true;ВН-79 Выключен;1;;0;0;0;0;0;3
vn80;vn;ВН-80;ТП-39 вывод с Л-21-7 к ТП-18 (п.Шуя);false;11;0;0;1;0;1;true;ВН-80 Включен;true;ВН-80 Выключен;1;;0;0;0;0;0;3
vn81;vn;ВН-81;ТП-185 с КЛ-52П-12 от ТП-187 (п.Мелиоративный) (ЗН);false;11;0;0;1;0;1;true;ВН-81 Включен;true;ВН-81 Выключен;1;;0;0;0;0;0;3
vn82;vn;ВН-82;ТП-185 ввод КЛ-52П-2 от ТП-187 (п.Мелиоративный) (ЗН);false;11;0;0;1;0;1;true;ВН-82 Включен;true;ВН-82 Выключен;1;;0;0;0;0;0;3
vn83;vn;ВН-83;ТП-126 ввод с Л-18П-9 (п.Чална) (ЗН);false;11;0;0;1;0;1;true;ВН-83 Включен;true;ВН-83 Выключен;1;;0;0;0;0;0;3
vn84;vn;ВН-84;ТП-126 вывод Л-18П-9 на ВС-2 и ТП-127 (п.Чална) (ЗН);false;11;0;0;1;0;1;true;ВН-84 Включен;true;ВН-84 Выключен;1;;0;0;0;0;0;3
